Species_id,scientificName,locality,latitude,longitude,eventDate
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,29-09-2018
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,22-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,22-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2017
1,Stipiturus mallee,Nowingi,-34.672335,142.240189,05-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Warepil Walk,-34.71889,142.30944,16-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2017
1,Stipiturus mallee,"Hattah VIC 3501, Unnamed Road",-34.68365,142.27153,26-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,16-09-2018
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,26-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,27-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Warepil Walk,-34.71889,142.30944,16-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Hattah Nature Walk,-34.7603096,142.3223448,12-09-2015
1,Stipiturus mallee,Konardin Track,-34.683905,142.281502,26-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Parkƒ??Nowingi / Konardin Track,-34.683611,142.271104,16-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,29-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,25-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,10-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,20-09-2018
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,22-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,25-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Murray-Sunset National Park--Millewa South Bore,-34.7839195,141.0678005,05-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,29-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,07-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,06-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2016
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,22-09-2017
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,22-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Parkƒ??Nowingi / Konardin Track,-34.683611,142.271104,16-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,06-09-2017
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,22-09-2017
1,Stipiturus mallee,Murray-Sunset National Park--Millewa South Bore,-34.7839195,141.0678005,05-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,26-09-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,02-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,15-09-2015
1,Stipiturus mallee,"Calder Highway, Ouyen, Victoria, AU (-34.829, 142.294)",-34.8286764,142.2941754,28-09-2018
1,Stipiturus mallee,Pink Lakes--near south end of Mt Crozier Tk,-35.0312073,141.7563772,20-09-2018
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,25-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-09-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,26-09-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,29-09-2018
1,Stipiturus mallee,Nowingi outing 9/2015,-34.6723113,142.2374496,05-09-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-09-2016
